gl_pSerPort now points to active Serial (USB or Wixel)
7950: Starting setup() for WallE3_Complete_V2.ino

Checking for MPU6050 IMU at I2C Addr 0x68
MPU6050 connection successful
Initializing DMP...
Enabling DMP...
DMP ready! Waiting for MPU6050 drift rate to settle...
Calibrating...Retrieving Calibration Values


Msec	Hdg
10516	-0.051	-0.039
MPU6050 Ready at 10.52 Sec with delta = -0.013
Checking for Teensy 3.5 VL53L0X Controller at I2C addr 0x20
Teensy available at 11616 with gl_bVL53L0X_TeensyReady = 1. Waiting for Teensy setup() to finish
11619: got 1 from VL53L0X Teensy
Teensy setup() finished at 11721 mSec
VL53L0X Teensy Ready at 11723

Checking for Garmin LIDAR at Wire2 I2C addr 0x62
LIDAR Responded to query at Wire2 address 0x62!
Setting LIDAR acquisition repeat value to 0x02 for <100mSec measurement repeat delay
Initializing Front Distance Array...Done
Initializing Rear Distance Array...Done

Checking for Teensy 3.2 IRDET Controller at I2C addr 0x8
11812: IRDET Teensy Not Avail...
IRDET Teensy Ready at 11914
Fin1/Fin2/SteeringVal = 10	38	-0.5714
11916: Initializing IR Beam Value Averaging Array...Done
11919: Initializing IR Beam Value Averaging Array...Done
Battery Voltage = 8.13

14126:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 8.12
IRHomingValTotalAvg = 58 
14263: gl_LeftCenterCm = 22.00 gl_RightCenterCm = 200.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 14.1


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE
ANOMALY_TRACKING_WRONG_WALL case detected

29445:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 7.89
IRHomingValTotalAvg = 131 
29521: gl_LeftCenterCm = 62.00 gl_RightCenterCm = 75.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 29.5


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE
15.5	54.0	73	500	200	30513	0	-39.6	WRONG_WALL
15.6	56.0	72	637	200	30250	0	-42.1	WRONG_WALL
15.7	48.0	70	659	200	30121	0	-40.2	WRONG_WALL
15.8	41.0	71	474	200	29473	0	-34.6	WRONG_WALL
15.9	42.0	72	450	200	28919	0	-27.3	WRONG_WALL
16	44.0	73	443	109	28332	162	-23.5	WRONG_WALL
16.1	45.0	72	443	113	27541	304	-25.5	WRONG_WALL
16.2	46.0	68	424	200	26671	304	-30	WRONG_WALL
16.3	46.0	65	448	200	25192	304	-33.6	WRONG_WALL
16.4	48.0	64	541	200	23007	304	-41.1	WRONG_WALL
16.5	48.0	63	516	200	21940	304	-47.9	WRONG_WALL
16.6	49.0	63	256	200	23468	304	-59.6	WRONG_WALL
16.7	50.0	63	139	200	24354	304	-67.9	WRONG_WALL
16.8	52.0	69	99	113	27221	440	-78.6	WRONG_WALL
16.9	52.0	76	178	91	28188	650	-84.8	WRONG_WALL
17	55.0	79	149	96	28927	831	-83	WRONG_WALL
17.1	50.0	81	88	200	31000	831	-77.2	WRONG_WALL
17.2	46.0	80	86	200	33146	831	-72.1	WRONG_WALL
17.3	44.0	78	94	200	35639	831	-69	WRONG_WALL
17.4	49.0	79	103	200	36436	831	-65.9	WRONG_WALL
17.5	54.0	80	98	200	36688	831	-67	WRONG_WALL
17.6	57.0	84	80	200	38532	831	-70.9	WRONG_WALL
17.7	56.0	85	60	200	40294	831	-77.5	WRONG_WALL
17.8	53.0	94	61	200	41436	831	-85.8	WRONG_WALL
17.9	53.0	104	147	116	40765	937	-95.7	WRONG_WALL
18	51.0	200	136	94	39648	1110	-106.8	WRONG_WALL
18.1	54.0	200	184	87	34313	1300	-112.3	WRONG_WALL
18.2	53.0	200	166	101	27683	1430	-110.2	WRONG_WALL
18.3	50.0	200	130	111	25636	1522	-104.4	WRONG_WALL
18.4	51.0	200	116	110	23795	1611	-100.8	WRONG_WALL
18.5	50.0	200	111	110	21770	1694	-103	WRONG_WALL
18.6	50.0	200	122	120	19335	1746	-108.5	WRONG_WALL
18.7	49.0	200	159	125	16886	1782	-114.5	WRONG_WALL
18.8	50.0	200	181	109	13700	1850	-121.6	WRONG_WALL
18.9	53.0	23	175	112	7689	1903	-128.8	WRONG_WALL
19	54.0	21	272	125	2740	1925	-134.7	WRONG_WALL
19.1	54.0	20	266	129	2840	1935	-136	WRONG_WALL
19.2	51.0	34	257	200	3403	1935	-135.9	WRONG_WALL
19.3	48.0	72	254	200	3808	1935	-133.9	WRONG_WALL
19.4	47.0	77	221	200	3986	1935	-129.4	WRONG_WALL
19.5	43.0	76	147	200	3986	1935	-123.2	WRONG_WALL
19.6	39.0	70	148	200	3834	1935	-117	WRONG_WALL
19.7	39.0	69	145	200	3661	1935	-115.1	WRONG_WALL
19.8	38.0	72	141	200	3523	1935	-114.3	WRONG_WALL
19.9	39.0	75	133	200	3432	1935	-113.6	WRONG_WALL
20	37.0	75	127	200	3329	1935	-113.8	WRONG_WALL
20.1	37.0	75	123	200	3133	1935	-113.6	WRONG_WALL
20.2	37.0	73	114	200	2816	1935	-112.8	WRONG_WALL
20.3	37.0	70	108	200	2523	1935	-112.6	WRONG_WALL
20.4	37.0	69	104	200	2650	1935	-112.8	WRONG_WALL
20.5	36.0	66	101	200	2769	1935	-113.4	WRONG_WALL
20.6	39.0	65	94	200	2909	1935	-113.2	WRONG_WALL
20.7	52.0	63	93	200	3059	1935	-114.1	WRONG_WALL
20.8	87.0	60	90	200	3196	1935	-119	WRONG_WALL
20.9	84.0	31	83	200	3333	1935	-125.8	WRONG_WALL
21	72.0	22	78	200	3480	1885	-133.2	WRONG_WALL
21.1	59.0	22	84	83	3618	1970	-141.9	WRONG_WALL
21.2	47.0	22	153	81	3615	2098	-152.6	WRONG_WALL
21.3	46.0	25	156	96	3572	2170	-165.3	WRONG_WALL
21.4	59.0	28	146	97	3538	2230	-172.9	WRONG_WALL
21.5	58.0	34	148	104	2874	2265	-170.7	WRONG_WALL
21.6	45.0	36	147	102	2224	2297	-165	WRONG_WALL
21.7	67.0	35	102	107	1644	2311	-156.6	WRONG_WALL
21.8	87.0	35	120	109	999	2319	-150.5	WRONG_WALL
21.9	84.0	36	101	116	624	2266	-152.5	WRONG_WALL
22	84.0	38	91	113	620	2230	-158.2	WRONG_WALL
22.1	86.0	42	126	200	585	2230	-166.9	WRONG_WALL
22.2	93.0	51	113	79	551	2310	-177	WRONG_WALL
22.3	100.0	52	94	57	538	2451	173.4	WRONG_WALL
22.4	59.0	42	80	47	562	2616	162.5	WRONG_WALL
22.5	46.0	32	47	45	705	2769	150.7	WRONG_WALL
22.6	39.0	39	67	45	758	2903	138.4	WRONG_WALL
22.7	39.0	200	65	54	817	2986	128.3	WRONG_WALL
22.8	42.0	82	62	9	882	3240	123.3	WRONG_WALL
